,0,1,2,3,4
52,Samsung Galaxy S10e,OnePlus 6T McLaren,BLU Vivo XL4,Canon EOS 6D Mark II,Lenovo Flex 15 2-IN-1
53,Nokia 3310,OnePlus 5T,RED Hydrogen One,Nikon Z50,ASUS Q304UA
54,HUAWEI Mate 9,LG Xpression Plus,LG Fiesta,FUJIFILM X-Pro2,Dell XPS 13 9370
55,Google Nexus 5,Samsung Galaxy Note 10 (Unlocked),Verizon Ellipsis 8,Fujifilm X-T30,Lenovo ThinkPad X1
56,Razer Nommo Pro,UWO,Nokia 8,Canon EOS 80D,Dell Tdsourcing Latitude 5290 2-IN-1
57,Samsung Galaxy S9+,LG Q7+,Sony 8k Master Series Z9G,Canon EOS 60D,MovinCool OFFICEPRO18
58,Essential Phone,Tiny Town,ZTE Zmax Pro,Nikon Z7,HP Stream 14-CB060NR
59,Samsung Galaxy S9 plus,ASUS ZenFone 4 Max (ZC554KL),Nokia 6.1,Nikon Z6,Lenovo ThinkPad X1 Tablet
60,Garmin Approach S60,Samsung Galaxy J3 Eclipse,LG Rebel 4 L211VL,OLYMPUS OM-D E-M1 Mark II,Lenovo Yoga Book C930
61,Kyocera DuraXV,Motorola moto Z2 FORCE DroID,ZTE Maven,"Element ELST3216H 32"" Class (31.5"" Viewable) LED TV",Lenovo ThinkPad X1 Carbon
62,BlackBerry Passport,ZTE Zmax Pro,Huawei Ascend XT2,OLYMPUS PEN-F,Lenovo Yoga C930
63,Xiaomi Mi Mix,Alcatel GO FLIP,ZTE Overture 3,Canon XL2,Lenovo Miix 630-12Q35
64,Google Pixel 4 XL,LG Zone 4,Hacienda,Panasonic LUMIX G DMC-G85,ASUS VivoBook F510UA
65,Samsung Galaxy S10 Plus,ZTE Overture 3,BLU G9,Panasonic LUMIX G DMC-GH4,Lenovo YOGA Book
66,Sonim XP5,Sliver,Intrigue,Canon EOS 1300D Rebel T6,ASUS ZenBook UX310UA
67,Samsung Galaxy Grand Prime Plus,Samsung UN75NU6900F 6 Series,BlackBerry DTEK60,Sony Alpha A7S II,HP T310
68,Google Pixel 2,OnePlus 3T,BlackBerry KEYone,Canon EOS 800D Rebel T7i,Lenovo ThinkPad X1 Extreme
69,Google Pixel 3,OnePlus X,ZTE Axon 10 Pro,Leica M10,Getac F110 G3
70,Google Pixel 3 XL,HUAWEI Mate 9,Samsung Galaxy Note II,Panasonic LUMIX DC-GH5S,HP Pro X2 612 G1
71,Samsung Galaxy S8,Nokia 6,Nvidia Shield K1,Leica Q-P,LG Gram 17
72,AOC L22H998 ENVISION,LG Aristo,Huawei Mate 10 Pro,Nikon Coolpix B600,Lenovo ThinkPad X1 Yoga
73,Huawei Mate 10,Huawei P9,Jackpot,Canon EOS R,Acer Aspire S7-191
74,Huawei Y6,HP Jet Fusion 580,Apple iMac With Retina 4K Display,FUJIFILM X Series X-Pro2,Lenovo Yoga 920-13IKB
75,LG Signature OLED65W7P W7 Series,Google Nexus 6P,Nokia 9 PureView,Canon EOS 7D Mark II,Dell XPS
76,BlackBerry Priv Black,LG Rebel 4 L211VL,LG Xpression Plus,Panasonic Lumix G DMC-GX7,Lenovo Flex 3 1580
77,RED Hydrogen One,OnePlus 6T,Apple iPhone 4G,Canon EOS RP,Lenovo Flex 11
78,Apple iPad 9.7 (2018),Samsung Galaxy Halo,Amazon Kindle Fire 7,FUJIFILM X-T3,Lenovo ThinkPad Yoga 370
79,Edifier M3200,Motorola MOTO Z2,ASUS Chromebook Flip C434TA,Canon EOS M6 Mark II,Lenovo ThinkPad E465
80,Nokia 5,Google Pixel 3a XL,Samsung Notebook 5 500R5LA,FUJIFILM X Series X-A5,ASUS VivoBook F705MA
81,Xiaomi Redmi Note 5 Pro,BlackBerry KEYone,Samsung Galaxy A3,FUJIFILM X-T100,Lenovo ThinkCentre M700
