SourceProduct,SimilarProduct,Tier
Apple iPhone XR,Apple iPhone Xs Max,1
Apple iPhone XR,Apple iPhone X,1
Apple iPhone XR,Apple iPhone XS,1
Apple iPhone Xs Max,Apple iPhone X,1
Apple iPhone Xs Max,Apple iPhone XS,1
Apple iPhone Xs Max,Apple iPhone XR,1
Apple iPhone 11,Apple iPhone 11 Pro Max,1
Apple iPhone 11,Apple iPhone 11 Pro,1
Samsung Galaxy S10,Samsung Galaxy S10+,1
Samsung Galaxy S10,Samsung Galaxy S10e,1
Samsung Galaxy S10,Samsung Galaxy S10 Plus,1
Samsung Galaxy S10,Samsung Galaxy S10 5G,1
Nikon D7200,Nikon D7500,1
Nikon D7200,Nikon D750,1
Microsoft Surface Laptop,Surface Laptop 2,1
Microsoft Surface Laptop,Microsoft Surface Laptop 3,1
