"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",-0.0183633511516104,1.80502320204407e-06,3.16554675002232e-06,6.19899350198768e-06,-4.91059529129547e-06,-4.52006295859313e-06,3.22373251848648e-06,-3.45659390004117e-07,-2.23608416275615e-05,-5.64601452091476e-06,1.22305700605938e-07,-0.0183635817157881,4.20438866054076e-06,6.9569007526751e-06,2.06915387520444e-05,-1.69051376573644e-05,-6.09330654351069e-06,-5.06513361942154e-06,5.104951115638e-06,-2.87890948434764e-05,-7.61808159652901e-06,-3.53917226451494e-07
"2",-0.0183633706868231,1.82753459197634e-06,3.20272388934361e-06,6.32056389033661e-06,-5.01467539878626e-06,-4.56571703954386e-06,3.20396582415409e-06,-3.17042675040388e-07,-2.26080398403133e-05,-5.71335795999766e-06,1.20467012358946e-07,-0.0183635809547267,4.15340545379634e-06,6.87310914912009e-06,2.03353723226331e-05,-1.65715898557184e-05,-5.93926027298015e-06,-4.99914269017904e-06,5.00194510218116e-06,-2.77768397014453e-05,-7.33211605110754e-06,-3.83520197466134e-07
"3",-0.0183638277138852,2.48569868965511e-06,4.30572604623388e-06,1.01210749551693e-05,-8.34513011430651e-06,-6.1064557384866e-06,2.67166927019724e-06,5.85413928678888e-07,-3.14021799724911e-05,-8.11826986175624e-06,6.96056535951765e-08,-0.0183630536895726,4.32256859630484e-06,7.15033221382458e-06,2.14729407639273e-05,-1.75950882799204e-05,-6.30119976653993e-06,-5.38444128226321e-06,5.37205926878836e-06,-2.98597255553768e-05,-7.91541324578923e-06,-5.41282124569423e-07
"4",-0.018363751827917,2.40671600981997e-06,4.1962483482606e-06,9.81945810562047e-06,-8.10918932470017e-06,-6.02433284952203e-06,2.74161107883672e-06,5.21004205172996e-07,-3.11394678618309e-05,-8.04365790242309e-06,4.80791494961054e-08,-0.0183630610391609,4.25100344169491e-06,7.03134953764365e-06,2.10410009647555e-05,-1.72114568758571e-05,-6.13589006704272e-06,-5.29372824546007e-06,5.25537114410397e-06,-2.89332793637026e-05,-7.6609139241647e-06,-4.89757609176591e-07
"5",-0.0183633474734296,1.8046571729448e-06,3.16471264735368e-06,6.19398512985338e-06,-4.90703568933947e-06,-4.52442919368363e-06,3.23474416995487e-06,-3.51342770584537e-07,-2.23923298027535e-05,-5.65410024017614e-06,1.22202237368002e-07,-0.0183629226211509,3.98875195787909e-06,6.58465602385835e-06,1.96251507053146e-05,-1.59779138002326e-05,-5.46831254525523e-06,-5.25951018131844e-06,4.9859667532185e-06,-2.52692016302892e-05,-6.68235867237919e-06,-6.05169138790392e-07
"6",-0.0183631474602021,1.60293111350561e-06,2.83042792791432e-06,5.06642018103859e-06,-3.94492707118173e-06,-4.15685515382891e-06,3.51380672779064e-06,-6.4999130736667e-07,-2.04896520636282e-05,-5.14290644197496e-06,1.48108603848237e-07,-0.018362959623748,3.93515308793364e-06,6.49228173411361e-06,1.93625232857068e-05,-1.57506336108739e-05,-5.3149897882977e-06,-5.30793356642625e-06,4.9576835358282e-06,-2.44121019714973e-05,-6.45607344576995e-06,-4.11814253211713e-07
"7",-0.0183632623182463,1.71903735879874e-06,3.02335062316012e-06,5.68514697404453e-06,-4.46562869338165e-06,-4.37093137788019e-06,3.39453810633752e-06,-5.03024348960571e-07,-2.15750936718235e-05,-5.4344832092205e-06,1.38240787317467e-07,-0.01836347990228,4.28386538727198e-06,7.08334952194964e-06,2.12950361429476e-05,-1.74435672686865e-05,-6.19158009344728e-06,-5.43077267206289e-06,5.35935483995211e-06,-2.92630770758476e-05,-7.76079508404337e-06,-3.52037348745044e-07
"8",-0.0183632312736402,1.69365274226391e-06,2.98189138000177e-06,5.54840257223449e-06,-4.35133151936317e-06,-4.33412282215298e-06,3.43941642640104e-06,-5.42112869520565e-07,-2.1397172743352e-05,-5.38295268902524e-06,1.42541886518391e-07,-0.0183630075576992,3.99917836330265e-06,6.60121717478319e-06,1.97086184732052e-05,-1.6052352635973e-05,-5.47774746836308e-06,-5.31743536987078e-06,5.02406060274981e-06,-2.53063919336967e-05,-6.6926819777025e-06,-6.55809114973291e-07
"9",-0.0183638883942871,2.41130313289226e-06,4.17829992228965e-06,9.491659382046e-06,-7.71578852623949e-06,-5.75427977292575e-06,2.7085181528213e-06,4.1063147888864e-07,-2.89303911211578e-05,-7.42244475257596e-06,6.86270580102255e-08,-0.0183632651721545,4.49278916973755e-06,7.43825149505037e-06,2.2456035976981e-05,-1.84696613640874e-05,-6.74458548480112e-06,-5.48691791877015e-06,5.59654773423245e-06,-3.25271998880172e-05,-8.71233029762888e-06,-4.80757959718218e-07
"10",-0.018364001926176,2.58052486108596e-06,4.47340680480613e-06,1.05278158243596e-05,-8.62879925961263e-06,-6.18195863886632e-06,2.57240796371721e-06,6.57027606799076e-07,-3.13790366939308e-05,-8.07619794722489e-06,5.23617612649114e-08,-0.0183627072263936,4.22759972426908e-06,6.98986861529054e-06,2.09434225656026e-05,-1.71288597174549e-05,-6.0585343064492e-06,-5.35121344142877e-06,5.26084985119948e-06,-2.84977152367166e-05,-7.54954224815375e-06,-2.10714089145054e-07
"11",-0.0183630536214892,1.48827160806798e-06,2.63835001783249e-06,4.41625180787779e-06,-3.38219281842008e-06,-3.90979427881201e-06,3.62322182364991e-06,-8.07590140740979e-07,-1.91232163710031e-05,-4.77179922973398e-06,1.61446418939838e-07,-0.0183634958371134,4.03900579079489e-06,6.67345474657072e-06,1.98081870982127e-05,-1.61274928650348e-05,-5.62609529776551e-06,-5.12345937658893e-06,4.96222978898072e-06,-2.61151781444197e-05,-6.90104810031182e-06,-3.58812576400206e-07
"12",-0.0183631079495642,1.53927189189396e-06,2.72269657129456e-06,4.70344348964344e-06,-3.62646651142718e-06,-3.9963896782138e-06,3.54074784739406e-06,-7.27349542449444e-07,-1.95612059443277e-05,-4.89007273770573e-06,1.55021123760106e-07,-0.0183629991337813,3.93516155487039e-06,6.4922957029551e-06,1.93625649465332e-05,-1.57506675004369e-05,-5.31500122379181e-06,-5.30794498679365e-06,4.95769420283775e-06,-2.44121542182893e-05,-6.45499227674451e-06,-5.27004259774042e-07
"13",-0.0183632240966435,1.68491223606057e-06,2.96581403822208e-06,5.53880424950024e-06,-4.35241760167724e-06,-4.30964483912875e-06,3.38602165111506e-06,-5.18194963213562e-07,-2.13108896483457e-05,-5.37338542078875e-06,1.39343334846182e-07,-0.0183628829843964,3.93513666420566e-06,6.49225463814937e-06,1.93624424747198e-05,-1.57505678743133e-05,-5.31496760555161e-06,-5.30791141306549e-06,4.9576628445147e-06,-2.44119996892996e-05,-6.45448727292112e-06,-5.75827374330646e-07
"14",-0.0183632989800565,1.81571890360506e-06,3.18917124041599e-06,6.32712912242806e-06,-5.05597711978085e-06,-4.66004711047026e-06,3.31279789598537e-06,-3.36755505019351e-07,-2.3414455667741e-05,-5.94732844371654e-06,1.22579406830765e-07,-0.0183628081672111,3.93512063104706e-06,6.49222818621388e-06,1.93623635849188e-05,-1.57505037007782e-05,-5.31494595029617e-06,-5.30788978686984e-06,4.95764264505967e-06,-2.44119006305926e-05,-6.45605485706876e-06,-4.08164920658088e-07
"15",-0.0183630884044467,1.52673293084974e-06,2.70251739321247e-06,4.62773633912158e-06,-3.56276717494163e-06,-3.98665119004573e-06,3.58510750970012e-06,-7.56828694488824e-07,-1.95318664590777e-05,-4.88224760594659e-06,1.5757877706495e-07,-0.0183630186669256,3.93516574070322e-06,6.49230260894028e-06,1.93625855427818e-05,-1.57506842546252e-05,-5.31500687755184e-06,-5.30795063304915e-06,4.95769947642981e-06,-2.44121804430497e-05,-6.4560105111031e-06,-4.20619230053883e-07
"16",-0.0183632659516636,1.80705987511313e-06,3.19074770094012e-06,6.40411265782205e-06,-5.14954762236338e-06,-4.72428165530934e-06,3.31823726096741e-06,-3.09492278376603e-07,-2.39359550182699e-05,-6.08764037753128e-06,1.17112636901911e-07,-0.0183628412446633,3.93512771941727e-06,6.49223988070236e-06,1.93623984627063e-05,-1.57505320724818e-05,-5.31495552446868e-06,-5.30789934803337e-06,4.95765157543266e-06,-2.4411944135125e-05,-6.45421976347183e-06,-6.02422018390201e-07
"17",-0.0183637772712108,2.90530791760392e-06,5.01330250067379e-06,1.47022750239858e-05,-1.33189300000426e-05,-8.67122888170647e-06,-2.64216421827864e-08,-4.08880558654682e-06,-4.02823561293194e-05,-1.7152956107061e-05,-3.94886017242138e-06,-0.0183675450210067,9.92612620033618e-06,1.66281730860437e-05,6.55080057482324e-05,-6.19220778318533e-05,-3.0705489228884e-05,-1.97865820109778e-05,-4.32170413040898e-05,-0.000194097327646742,-7.61465857088202e-05,-1.03414962222635e-05
"18",-0.0183639273458291,3.31642833638735e-06,5.70332394580957e-06,1.83912684985853e-05,-1.77974676596924e-05,-1.11116563117403e-05,-1.36349587535802e-06,-3.53360788150849e-06,-7.75248045517655e-05,-3.09123394420135e-05,-3.64796209272643e-06,-0.0183680467137037,1.02665316194313e-05,1.7214474219172e-05,7.11387417572488e-05,-7.14604789161675e-05,-3.56448506710047e-05,-2.08888775113277e-05,1.36302259739493e-05,-0.000315965008266428,-0.000133201229620711,-1.41720161295232e-05
"19",-0.0183640757586679,3.67287074300263e-06,6.30048547076568e-06,2.07217214467126e-05,-1.94852759791616e-05,-1.20544347709285e-05,-3.08583056981292e-06,-3.157520858201e-05,-6.93379350620856e-05,-2.6007414681772e-05,-2.64654554517052e-06,-0.0183673397294213,9.6445123141329e-06,1.61572680309357e-05,6.28736911854672e-05,-5.82666894128501e-05,-2.93008451397787e-05,-1.90873540175744e-05,-1.88485617665078e-05,-0.000154240939449405,-7.18665339528801e-05,-1.63450207819454e-05
"20",-0.0183640959885468,3.93593261153239e-06,6.74426920054458e-06,2.39627037137371e-05,-2.39767937591404e-05,-1.43777403791559e-05,-3.03994363622838e-06,3.48299279901031e-06,-0.000120099227986153,-4.8572626588098e-05,-4.3359050441184e-06,-0.018367614519423,1.09169965078611e-05,1.83030552109249e-05,7.8405245360866e-05,-8.08475470120693e-05,-4.03838079209035e-05,-2.70846255823419e-05,1.16516757475475e-05,-0.000320700210874303,-0.000154231941528565,-2.65639647608841e-05
"21",-0.0183640129216309,2.96226263693938e-06,5.10369637388277e-06,1.41981338805579e-05,-1.25418395049487e-05,-8.42791160054767e-06,1.02123154490211e-06,-1.32548921954785e-06,-6.05666223374227e-05,-3.03143387579337e-05,3.92091850692283e-06,-0.0183671259042814,8.60237402696363e-06,1.43978517233102e-05,5.47415700649892e-05,-5.22666495748031e-05,-2.61653486825996e-05,-1.48362889177781e-05,-4.92015075744512e-06,-0.000321741189650038,-0.000287815184113535,5.74550968319117e-05
"22",-0.0183639087754992,2.75163324806607e-06,4.7516104913799e-06,1.24824727707055e-05,-1.09169207363652e-05,-7.43499598013522e-06,1.77174437750686e-06,1.23276825280025e-06,-4.62820766447406e-05,-1.49411649835242e-05,-7.7521313880103e-07,-0.0183667398823402,6.8827083705502e-06,1.15063995885786e-05,3.95289949376936e-05,-3.59535799527239e-05,-1.67142634535999e-05,-8.63170330303335e-06,8.84523936573325e-06,-0.000123952692241688,-4.64928851678228e-05,-4.45829116103347e-06
"23",-0.01836472933725,4.02789581703937e-06,6.88682254820295e-06,2.07027636481519e-05,-1.84981721664918e-05,-1.1109157836992e-05,-3.83469430510684e-07,-3.81248077899787e-06,-7.75774742401825e-05,-3.72661821639965e-05,4.68632959533557e-06,-0.0183660227078487,6.83800980609737e-06,1.14346548394085e-05,3.85084554606428e-05,-3.44666292496353e-05,-1.59074361910582e-05,-7.87308134925746e-06,-8.1325267263387e-07,-0.000127451684416353,-7.75679676972545e-05,1.29075972775623e-05
"24",-0.0183632344271923,1.76806086847301e-06,3.10692780876316e-06,6.20032433446128e-06,-5.04383558273304e-06,-4.70490723209957e-06,3.1730590425026e-06,-1.74501659511582e-06,-2.53059568378391e-05,-8.19466455727568e-06,6.7881852644254e-07,-0.0183678862595025,6.61879267036032e-06,1.10736897144247e-05,3.65053585394873e-05,-3.23810822517541e-05,-1.52285807375403e-05,-8.3748504333107e-06,-2.04288463870183e-05,-0.000102075874711335,-5.04775876947674e-05,6.57294617125842e-06
