"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",-0.0183646441345142,5.72744465070936e-06,9.74115943038286e-06,-5.19383994010911e-06,7.74579231853337e-06,-5.60989949558303e-06,6.36010142294852e-07,1.09383836217694e-05,-3.72817253770676e-06,-9.04431162728147e-06,1.40349755790913e-05,-0.0183646792867794,1.58930222892423e-05,9.85259254961551e-06,-1.40622329658079e-05,2.43141894431244e-05,-5.0147753720025e-06,-2.5748268277716e-06,2.76275313739411e-05,-6.74750454193143e-06,-3.85651910347924e-05,1.39801740346588e-05
"2",-0.0183646441345142,5.72744465070936e-06,9.74115943038286e-06,-5.19383994010911e-06,7.74579231853337e-06,-5.60989949558303e-06,6.36010142294852e-07,1.09383836217694e-05,-3.72817253770676e-06,-9.04431162728147e-06,1.40349755790913e-05,-0.0183647152878903,1.59351840226299e-05,9.92712140500891e-06,-1.41109744132716e-05,2.40335298561537e-05,-5.04897667454588e-06,-2.74763874162595e-06,2.79464779727821e-05,-6.72491601604162e-06,-3.88087871801297e-05,1.41710487412948e-05
"3",-0.0183646441345142,5.72744465070936e-06,9.74115943038286e-06,-5.19383994010911e-06,7.74579231853337e-06,-5.60989949558303e-06,6.36010142294852e-07,1.09383836217694e-05,-3.72817253770676e-06,-9.04431162728147e-06,1.40349755790913e-05,-0.018364644094682,1.58389328336624e-05,9.77058493893835e-06,-1.40024327494515e-05,2.420669663514e-05,-4.93849883203847e-06,-2.79357240559665e-06,2.77502103661701e-05,-6.62979833199843e-06,-3.85397512562112e-05,1.37925185997989e-05
"4",-0.0183646441345142,5.72744465070936e-06,9.74115943038286e-06,-5.19383994010911e-06,7.74579231853337e-06,-5.60989949558303e-06,6.36010142294852e-07,1.09383836217694e-05,-3.72817253770676e-06,-9.04431162728147e-06,1.40349755790913e-05,-0.018364644094682,1.58389328336402e-05,9.7705849389264e-06,-1.40024327494454e-05,2.42066966351551e-05,-4.93849883312279e-06,-2.79357243845189e-06,2.77502104286241e-05,-6.62981190616114e-06,-3.85396650537024e-05,1.37923256192816e-05
"5",-0.0183646441345142,5.72744465070936e-06,9.74115943038286e-06,-5.19383994010911e-06,7.74579231853337e-06,-5.60989949558303e-06,6.36010142294852e-07,1.09383836217694e-05,-3.72817253770676e-06,-9.04431162728147e-06,1.40349755790913e-05,-0.018364644094682,1.58389328336497e-05,9.77058493893159e-06,-1.40024327494481e-05,2.42066966351486e-05,-4.93849883265653e-06,-2.79357242432304e-06,2.77502104017669e-05,-6.62980606883403e-06,-3.8539702123557e-05,1.37924086071182e-05
"6",-0.0183646441345142,5.72744465070936e-06,9.74115943038286e-06,-5.19383994010911e-06,7.74579231853337e-06,-5.60989949558303e-06,6.36010142294852e-07,1.09383836217694e-05,-3.72817253770676e-06,-9.04431162728147e-06,1.40349755790913e-05,-0.018364644094682,1.58389328336558e-05,9.77058493893483e-06,-1.40024327494497e-05,2.42066966351444e-05,-4.93849883235807e-06,-2.79357241528068e-06,2.77502103845783e-05,-6.62980233295975e-06,-3.85397258481686e-05,1.37924617191203e-05
"7",-0.0183646441345142,5.72744465070936e-06,9.74115943038286e-06,-5.19383994010911e-06,7.74579231853337e-06,-5.60989949558303e-06,6.36010142294852e-07,1.09383836217694e-05,-3.72817253770676e-06,-9.04431162728147e-06,1.40349755790913e-05,-0.018364644094682,1.58389328336702e-05,9.7705849389426e-06,-1.40024327494538e-05,2.42066966351347e-05,-4.93849883165785e-06,-2.7935723940627e-06,2.77502103442455e-05,-6.62979356675719e-06,-3.85397815178011e-05,1.37925863460555e-05
"8",-0.0183646441345142,5.72744465070936e-06,9.74115943038286e-06,-5.19383994010911e-06,7.74579231853337e-06,-5.60989949558303e-06,6.36010142294852e-07,1.09383836217694e-05,-3.72817253770676e-06,-9.04431162728147e-06,1.40349755790913e-05,-0.018364644094682,1.58389328336474e-05,9.77058493893046e-06,-1.40024327494476e-05,2.42066966351502e-05,-4.93849883276622e-06,-2.7935724276453e-06,2.77502104080823e-05,-6.62980744144901e-06,-3.85396934067867e-05,1.37923890929897e-05
"9",-0.0183646441345142,5.72744465070936e-06,9.74115943038286e-06,-5.19383994010911e-06,7.74579231853337e-06,-5.60989949558303e-06,6.36010142294852e-07,1.09383836217694e-05,-3.72817253770676e-06,-9.04431162728147e-06,1.40349755790913e-05,-0.0183646440946821,1.5838932833686e-05,9.77058493895124e-06,-1.40024327494583e-05,2.42066966351239e-05,-4.93849883088396e-06,-2.79357237061081e-06,2.77502102996664e-05,-6.62978387763805e-06,-3.85398430484005e-05,1.37927240938668e-05
"10",-0.0183646441345142,5.72744465070936e-06,9.74115943038286e-06,-5.19383994010911e-06,7.74579231853337e-06,-5.60989949558303e-06,6.36010142294852e-07,1.09383836217694e-05,-3.72817253770676e-06,-9.04431162728147e-06,1.40349755790913e-05,-0.018364644094682,1.58389328336773e-05,9.77058493894657e-06,-1.40024327494559e-05,2.42066966351298e-05,-4.93849883130711e-06,-2.79357238343259e-06,2.77502103240391e-05,-6.62978917496101e-06,-3.85398094078337e-05,1.37926487831353e-05
